lat,long,density
40.7603858491,-73.9922914237,1166
40.6452124468,-73.7896469149,940
40.7208581818,-73.9940449242,1320
40.7273789474,-73.8994508772,57
40.8035699052,-73.9523658768,422
40.7124783046,-73.9577186782,696
40.6852196078,-73.9602169118,408
40.7559964029,-73.8460223022,139
40.7427445365,-74.0053149962,1327
40.7687161034,-73.9531262425,503
40.8966888889,-73.8579944444,18
40.7067492141,-74.0089295678,1018
40.7551857664,-73.968443674,822
40.663597973,-73.9804439189,296
40.7381560633,-73.9881973052,1707
40.7063162228,-73.9201789346,413
40.7738833807,-73.8723636364,1408
40.7239763359,-74.0349198473,131
40.8504435897,-73.9357292308,195
40.7681640086,-73.9827297414,928
40.6961086614,-73.9939350394,254
40.7625702703,-73.9150355212,259
40.6547780822,-73.9247068493,73
40.79256225,-73.97390825,400
40.7438476331,-73.9736997041,1014
40.7233505625,-73.9975945731,1511
40.6172058824,-74.0140313725,51
40.7284979553,-73.9893079872,1565
40.6834185185,-73.9768271003,1107
40.8584783019,-73.8855990566,106
40.6853626866,-74.0013048507,268
40.6818235294,-73.8357352941,34
40.734527566,-73.9556058651,341
40.7203571429,-73.7860857143,49
40.7519013774,-74.0282041322,363
40.7513676976,-73.9943231959,1164
40.7859122137,-73.951678626,393
40.716033042,-74.0146024476,572
40.7304324081,-74.0038577644,1333
40.6843568627,-73.9324784314,204
40.6371152,-73.9668992,125
40.8014421053,-73.9345102871,418
40.8431043478,-73.8296086957,23
40.70838,-73.8274133333,60
40.6529805556,-74.0066490741,108
40.86475,-73.9283280303,132
40.7560736595,-73.9835682032,1063
40.6608434783,-73.9594072464,138
40.7283752381,-73.8598095238,105
40.7382233333,-73.9971761333,750
40.778855506,-73.9792186012,672
40.7160743644,-73.9502457627,472
40.7259559168,-73.9787286086,769
40.6932297297,-73.9086648649,148
40.675753913,-74.0160910145,345
40.7639046512,-73.7793813953,43
40.6447561107,-73.7821304381,1301
40.7443569244,-73.9896479184,1177
40.7200380995,-73.9566228959,1105
40.8251326693,-73.9461466135,251
40.8973545455,-74.0328272727,11
40.6714736148,-73.9609598945,379
40.8139935484,-73.9141580645,31
40.7504058296,-73.9484461883,223
40.8937827586,-73.7806482759,29
40.6622777778,-73.9909098291,234
40.7632686147,-73.9718341991,924
40.7136023936,-73.9406882979,376
40.7116315483,-73.9647627474,859
40.7677591623,-73.9282172775,191
40.8045460843,-73.9640277108,332
40.7220780556,-73.9878285185,1080
40.8913859375,-73.902475,64
40.7740450704,-73.9059492958,142
40.7405019417,-73.9262864078,103
40.7808613757,-73.9572666667,378
40.7393985507,-74.0448152174,138
40.6178140351,-73.9568561404,57
40.7689873618,-73.9911184834,633
40.7597888889,-73.9794794504,837
40.7776855805,-73.9478550562,534
40.6634338129,-73.9466978417,139
40.6233625,-73.9231083333,48
40.7694822754,-73.864202994,835
40.6532863636,-73.8855909091,22
40.7478092694,-74.0063422028,917
40.722629316,-73.9421996743,307
40.6354207921,-74.0240415842,101
40.7599764053,-73.9868901627,1352
40.6920485294,-73.9537882353,340
40.7481374069,-73.9780925484,671
40.8536702128,-73.8588617021,47
40.7628497967,-73.9600762195,492
40.7372541667,-73.8743861111,72
40.6926548495,-73.9835488294,299
40.7375629714,-73.9815461714,875
40.837685,-73.88178,20
40.7947522222,-73.921685,180
40.7083019608,-74.0154463458,561
40.7455780911,-73.955337961,461
40.7252581441,-73.9926003894,1541
40.8287712446,-73.9254390558,233
40.79095,-74.0519785714,14
40.6756736434,-73.9817366925,387
40.6879490521,-73.9711992891,422
40.7409633028,-73.9932589195,981
40.7391972973,-73.8206054054,37
40.7303740113,-73.9826755932,885
40.8124430303,-73.9426406061,330
40.7182591512,-74.0044909814,754
40.7899506329,-73.942956962,237
40.7260689781,-74.0055260949,548
40.7278069116,-73.9938427822,1143
40.7067111111,-73.9003638889,72
40.819125,-73.8168821429,28
40.6731173913,-73.7794086957,23
40.7631029412,-73.9833729412,1020
40.7143568966,-74.0419008621,232
40.6869055961,-73.9879128954,411
40.8526157895,-73.9716315789,19
40.7340458333,-73.9991844758,1488
40.733552521,-73.9758693277,476
40.6815088889,-73.8608511111,45
40.7843540943,-73.9719349876,403
40.7822741935,-74.0085225806,31
40.7622192521,-73.9982445983,722
40.77692,-73.9880846667,300
40.679280622,-73.9884732057,418
40.6346912281,-73.9020596491,57
40.8243926829,-73.8944707317,41
40.7188642773,-73.9891556992,851
40.7279372263,-73.9572323601,411
40.7032709135,-74.0121629808,416
40.726048004,-73.9842948104,1002
40.7269437145,-74.0015202758,1233
40.7385064157,-74.0021911891,1169
40.7616252632,-73.8275378947,95
40.7755802653,-73.9539507463,603
40.7434825025,-73.9795191251,983
40.7203965986,-73.8442687075,147
40.7024756098,-73.852102439,41
40.7646011272,-73.9879927536,621
40.7574430769,-73.9250380769,260
40.7490828829,-73.8855981982,111
40.6639729167,-73.8036229167,48
40.7499568627,-73.9398831373,255
40.7479567861,-73.9845780673,921
40.6849741758,-73.9176236264,182
40.6967513109,-73.9264666667,267
40.6213120879,-74.0316505495,91
40.7728138462,-73.9819612821,780
40.7432944444,-73.8539814815,54
40.6352766234,-73.9448168831,77
40.7338858476,-74.0028947123,1929
40.7095576208,-73.9503358736,538
40.7561381038,-73.9959753131,559
40.7689183908,-73.8861908046,174
40.764111092,-73.9772629407,1163
40.7445177169,-73.9984527854,1095
40.7318816685,-73.9946186608,911
40.7022969582,-73.9848353612,263
40.6710394366,-73.9333873239,142
40.8145599078,-73.956181106,217
40.7967924731,-73.966669086,372
40.6748908555,-73.9537551622,339
40.6790985673,-73.9973719198,349
40.7746236364,-73.9632570455,440
40.6180357143,-73.9842892857,28
40.7176369023,-73.9986573805,962
40.7401335383,-74.006816825,1789
40.7659534483,-74.0260931034,58
40.7595051661,-73.9653687577,813
40.6730301282,-73.9739929487,312
40.7794970588,-73.8024705882,34
40.7505901333,-73.9727634667,750
40.8878888889,-73.9698555556,9
40.7237606742,-74.0460882022,178
40.7244694524,-73.9503224784,347
40.7119780488,-73.8783658537,41
40.679366747,-73.9668139759,415
40.6823710638,-73.9462204255,235
40.8763575,-73.883125,40
40.7154315238,-74.0087690476,1050
40.8380473684,-73.9417493421,152
40.6946375451,-73.9389458484,277
40.6484056777,-73.78303663,546
40.7302008989,-74.0002540075,1335
40.7520811404,-74.0025769006,684
40.6502869565,-73.9581789855,138
40.7024468912,-73.9921935233,386
40.7473050633,-73.9023,79
40.7516406548,-73.986771487,733
40.7061707101,-73.9426319527,338
40.8530395833,-73.9071541667,48
40.6484285714,-73.9766991597,119
40.8073451613,-73.9942387097,31
40.7565583415,-73.9895050732,1025
40.7426992265,-73.9847837569,905
40.7737,-73.9175611354,229
40.667527907,-73.9047837209,43
40.7463577465,-74.0355685446,213
40.6459324211,-73.7768536842,475
40.731397678,-74.007930031,646
40.7448125,-73.8434104167,96
40.7178834334,-73.9621492197,833
40.6984318182,-73.8055522727,44
