lat,long,density
40.7673568254,-73.9924765079,315
40.7121943503,-73.9662627119,531
40.6447890938,-73.7821100241,1247
40.7244376491,-74.0090594549,587
40.7730882629,-73.916615493,213
40.65400375,-74.00554875,80
40.7441589474,-73.8451778947,95
40.7303886991,-73.9925567674,761
40.8539848101,-73.9328088608,79
40.7016760618,-73.9261428571,259
40.6923017544,-73.9695621053,285
40.7761261324,-73.9623355401,287
40.7414167593,-74.0036475774,1259
40.7461938725,-73.9789405637,816
40.84884,-73.78708,5
40.6848434343,-73.9920020202,297
40.8063423645,-73.9450359606,203
40.7596388031,-73.9644918919,518
40.6655693878,-73.9607108844,147
40.8592666667,-73.891305,60
40.7467520202,-74.033619697,198
40.7203541506,-73.9989944015,1036
40.7047879157,-74.0102629712,902
40.7737594787,-73.8724364929,422
40.7562651648,-73.9892672527,910
40.7098907816,-73.9499370741,499
40.6752911765,-73.8438588235,34
40.7322685767,-73.9567253235,541
40.6435765957,-73.9254553191,47
40.7291857143,-73.8110178571,28
40.7432320313,-73.9206296875,128
40.7445993739,-73.9896806798,1118
40.7337077456,-73.9985226071,1588
40.7630748588,-73.9789409605,708
40.7236245042,-73.9795205382,706
40.6182102041,-74.0145673469,49
40.6836428571,-74.0018664835,182
40.826156875,-73.943535625,160
40.6756318386,-73.9641713004,223
40.7225211009,-74.0348091743,109
40.6434929825,-73.9462157895,57
40.6973035461,-73.9381007092,141
40.7385253313,-73.9884764614,1283
40.8502318182,-73.8384,22
40.7946355649,-73.9703916318,239
40.7343846154,-73.8808410256,39
40.6701780142,-73.976077305,141
40.7686266667,-73.77456,30
40.7501991228,-74.0039100251,798
40.7191015385,-73.9891367308,1040
40.7843465438,-73.9789417051,434
40.7159522634,-73.9505660494,486
40.7769895582,-73.9545289157,498
40.6768461728,-74.0150303704,405
40.7185522782,-74.0044646283,834
40.8867781609,-73.9047574713,87
40.7507403409,-73.9480897727,176
40.6842628378,-73.9356777027,148
40.7414716129,-73.979708871,620
40.6612913043,-73.8859717391,46
40.7226280374,-73.9569827103,856
40.6857253205,-73.9563894231,312
40.7027653137,-73.9914487085,271
40.7436984925,-73.99920134,597
40.7100409091,-73.8498227273,22
40.7073411765,-74.0046551084,646
40.8913,-74.0504,4
40.7834541667,-73.815175,24
40.7601347368,-73.9867754386,855
40.7156284507,-74.0145267606,355
40.7527322222,-73.9788303704,540
40.7506550839,-73.9930958539,1013
40.7691435897,-74.0235461538,39
40.8338473684,-73.9149763158,38
40.6942477477,-73.908272973,111
40.7634938865,-73.917589083,229
40.7632345423,-73.9704944732,579
40.67667,-73.80813,20
40.6443325,-73.97758625,80
40.7369232394,-74.0088617958,568
40.6834330724,-73.9777792564,511
40.7652818692,-73.9876525234,535
40.8296529412,-73.9797705882,17
40.7067078818,-73.9337046798,406
40.7382597403,-74.0304045455,308
40.8923518519,-73.7783740741,27
40.7572375,-73.9251420833,240
40.7406666667,-73.8688909091,33
40.7545364185,-73.9974897384,497
40.8034618375,-73.9541519435,283
40.6900534591,-73.9206408805,159
40.7752280632,-73.9884976285,253
40.7135716667,-73.9413496667,300
40.7631843195,-73.9598612426,338
40.7690915858,-73.864236246,309
40.8979722222,-73.8631,18
40.774425,-73.904754,100
40.7264394385,-74.0031183155,748
40.8740176471,-73.9686588235,17
40.7259534706,-73.9915762353,1700
40.80126,-73.92177,30
40.7361355353,-74.0054705011,878
40.6321945205,-74.0269013699,73
40.6762731861,-73.9817470032,317
40.83795,-73.8809307692,26
40.7261112663,-73.984324581,1074
40.8223888889,-73.8196333333,36
40.7354230769,-73.9922898462,975
40.6226828571,-73.9202314286,35
40.7180571622,-73.9620006757,740
40.7310902174,-73.9844512077,828
40.8123189349,-73.9562023669,169
40.7910059211,-73.9440960526,152
40.6453839442,-73.7895073298,573
40.63771875,-73.9629520833,96
40.7586131148,-73.8290983607,61
40.701144697,-73.9847386364,264
40.6716901961,-73.9385715686,102
40.7068727273,-73.81885,22
40.7557434211,-74.0318368421,76
40.7197854167,-74.0089922222,720
40.7453354839,-73.9548686217,341
40.7490164021,-73.9389460317,189
40.774455414,-73.947838535,314
40.7636874242,-73.9751387879,660
40.6806591837,-73.8688,49
40.7250878378,-73.9410060811,148
40.7209996963,-73.9937634776,1317
40.6621804444,-73.9911466667,225
40.7589043478,-73.8024652174,23
40.7440946932,-73.9737519071,603
40.6179166667,-74.0317012821,78
40.8133723077,-73.9336584615,65
40.7710278261,-73.9585110145,345
40.691275,-73.9902509091,220
40.662368254,-73.9295634921,63
40.7319313536,-74.0078799724,724
40.7449035111,-74.0074058518,769
40.7034453125,-73.89766875,64
40.6873472393,-73.9730944785,326
40.729558882,-74.0045532919,805
40.6781927203,-73.9713770115,261
40.7567979248,-73.9829110246,771
40.8014773109,-73.9368592437,238
40.8362147368,-73.9422694737,95
40.7623062069,-73.9982062069,580
40.7694276029,-73.9826145278,826
40.8467230769,-73.9383759615,104
40.7267090746,-73.9946675651,1113
40.6970335196,-73.9946,179
40.636995,-73.8998975,40
40.6835730519,-73.9646941558,308
40.79286,-74.04862,15
40.7332795501,-73.9883869121,978
40.8696013514,-73.8799364865,74
40.6438658537,-74.0168463415,41
40.7513617978,-73.8869853933,89
40.6714716578,-73.9911737968,187
40.7857202765,-73.9538497696,217
40.7307922213,-74.001106255,1247
40.7227525998,-74.0039898428,827
40.7341070352,-73.9772590452,398
40.6536222222,-73.8373444444,27
40.8665175,-73.9260941667,120
40.768242268,-73.8854804124,97
40.7435833583,-73.9842103448,667
40.7080595294,-74.0151783529,425
40.7277467532,-73.8628532468,77
40.7404340395,-74.0066241525,2124
40.7224157233,-74.0458893082,159
40.8782909091,-74.0080545455,11
40.619775,-73.9885,16
40.7423229508,-73.9024,61
40.7190044444,-73.7910822222,45
40.6579690476,-73.9516460317,126
40.77680625,-73.9797661638,464
40.7067329218,-73.9428061728,243
40.7219804819,-73.9877268273,1245
40.6503987805,-73.9626439024,82
40.6820907895,-73.9078960526,76
40.7337735859,-74.0027669157,1874
40.8219526316,-73.8561157895,19
40.8716352941,-73.8204294118,17
40.722072093,-73.9007046512,43
40.7404807037,-73.9937813848,881
40.7154209115,-73.9979254692,373
40.8227491379,-73.9534939655,116
40.8033405751,-73.9645648562,313
40.6933962366,-73.9483478495,186
40.8196285714,-73.9010642857,28
40.7511913425,-73.9849194479,797
40.6672423868,-73.9839872428,243
40.739232,-73.786016,25
40.7183685271,-73.9564565891,645
40.7677846774,-73.9291604839,124
40.7837432432,-74.0106972973,37
40.708092,-73.870792,25
40.6732483412,-73.9496203791,211
40.8503071429,-73.8615047619,42
40.7217123596,-73.8448808989,89
40.7377733195,-73.9994074457,967
40.6939109827,-73.959917341,173
40.7117057339,-73.9625245413,436
40.737908,-73.9838868571,700
40.6164388889,-73.9671333333,18
40.6894941176,-73.8280088235,34
40.87355,-73.8465153846,26
40.7239492693,-73.9976834029,958
40.7553287582,-73.9680625817,612
40.6460767241,-73.7767814655,232
40.7156578313,-74.0087630522,747
40.7190730924,-73.9840789157,498
40.7245138973,-73.9507066465,331
40.7108193069,-74.0075689769,606
40.6863578947,-73.7836578947,19
40.8155726115,-73.943377707,157
40.7680373938,-73.9656563739,353
40.8280873418,-73.9256417722,79
40.706934413,-73.9224951417,247
40.7606125,-73.90850625,80
40.8002,-73.9976473684,19
40.7691558719,-73.9535516014,281
40.7557625,-73.8469125,64
40.7456461412,-73.9946128079,609
40.7601959276,-73.9923569005,884
40.7499722039,-73.9736375,608
40.6484358852,-73.7829626794,418
40.6963317204,-73.9308483871,186
40.63805,-74.0009652174,46
40.7287061765,-73.979865,680
40.7525078788,-74.0262993939,165
40.7142906667,-73.9906468889,450
40.6912972477,-73.9971844037,218
40.7481149931,-73.9869554333,727
40.763369986,-73.9832875175,713
40.6602285714,-73.91198,35
40.7573990551,-73.9735228346,635
40.6776174419,-73.998302907,172
40.7288366173,-73.988668701,1147
40.7281748918,-73.9998101299,1155
40.6793073864,-73.9881423295,352
40.85399375,-73.907478125,32
40.713228125,-74.04234,160
40.7872891892,-73.9739602703,370
40.70338,-73.8034485714,35
40.7185873096,-73.9441873096,197
40.9020571429,-73.8080857143,7
40.7840352941,-73.8398176471,17
40.6833317919,-73.9467375723,173
40.6745846405,-73.9575653595,306
40.680135,-73.923566,100
40.7124797794,-73.9573854779,544
40.7814467949,-73.9486451923,312
40.7019444444,-73.9152214815,135
40.7110311111,-73.8330622222,45
40.6630354839,-73.8002580645,31
