lat,long,density
40.7427212279,-73.9917550468,961
40.6852134021,-73.9718701031,485
40.7759734722,-73.9535075,720
40.7143726651,-73.9476474943,878
40.765774359,-73.7794948718,39
40.8860939394,-73.9014151515,33
40.7204171621,-73.9880491266,3263
40.6498988372,-73.7866383721,86
40.7235388235,-73.8583223529,85
40.6931549839,-73.9350363344,311
40.7308039278,-74.0072897028,942
40.7484181818,-73.9764587774,638
40.7385984263,-74.0315440629,699
40.8294583893,-73.9450785235,149
40.7585687856,-73.9884796964,1054
40.6769059524,-74.0136797619,84
40.6654628931,-73.9415484277,159
40.7265270252,-73.982012417,1506
40.7691446886,-73.9144516484,273
40.7090922999,-74.0097514691,987
40.6699383486,-73.9862511927,545
40.7384642748,-74.001149084,1310
40.7129057878,-73.9627621651,933
40.6541803279,-73.8977147541,61
40.7016191781,-73.8171945205,73
40.6426626866,-73.9663201493,134
40.6228393939,-74.0235141414,99
40.8899527778,-73.8506194444,36
40.7830739837,-73.9781663957,369
40.7320911218,-73.9885487956,1453
40.6898727273,-73.9537250614,407
40.7044802348,-73.9238426614,511
40.760228719,-73.9686625,968
40.7498893813,-73.987720591,1083
40.6976111111,-73.9883965278,288
40.8578459854,-73.9324167883,137
40.6329409091,-73.9339227273,88
40.7202927885,-74.0434072115,208
40.7202341146,-74.0053665799,1152
40.7279138539,-73.9531188917,397
40.749612561,-74.0018079268,820
40.84272,-73.8337666667,30
40.6752359438,-73.9568160643,498
40.7420901786,-73.8944535714,112
40.8258102564,-73.8974846154,39
40.7408181052,-74.0063844908,4507
40.7987543379,-73.9688283105,219
40.8074462882,-73.9549030568,229
40.7482557312,-73.9482715415,253
40.8877125,-74.0312375,8
40.7257784005,-73.992230181,1713
40.6985774648,-73.9056985915,142
40.7406177852,-73.9828637584,894
40.7081533597,-73.9370994071,506
40.7657205059,-73.9830169828,1107
40.8086823529,-73.939561991,221
40.765375,-73.8782903846,52
40.7302694717,-74.0004476658,1628
40.7197354717,-73.9575791509,1060
40.684826087,-73.992680163,368
40.6743740741,-73.8486444444,54
40.8608425926,-73.8843185185,54
40.7555922509,-73.9241309963,271
40.7553991701,-74.0298074689,241
40.763005,-73.8320783333,60
40.7631093506,-73.9963,770
40.6489375,-74.0069079545,88
40.7192131498,-73.9962346177,1635
40.7197971429,-73.7900285714,35
40.6834777778,-73.9192385965,171
