lat,long,density
40.7844056497,-73.9493079096,177
40.7203225966,-73.9881169811,2226
40.6652673469,-73.8941673469,49
40.7298664815,-74.0080125926,540
40.7064941176,-73.9239634804,408
40.7626511392,-73.995805443,790
40.7685557377,-73.8328393443,61
40.6884360656,-73.9684311475,244
40.8677913043,-73.9199152174,92
40.7553820569,-73.9707310722,457
40.7218411514,-73.9574042644,938
40.646169863,-74.0092958904,73
40.7679635593,-73.9121661017,236
40.7147365385,-73.7928846154,52
40.652403125,-73.7868625,64
40.7203277487,-74.0041939791,764
40.6752186131,-73.9585321168,274
40.741585905,-73.9859135015,674
40.7397509158,-74.0335860806,273
40.7262887489,-73.9919612061,1111
40.7249985075,-73.8576626866,67
40.6504,-73.954974359,117
40.8085803828,-73.9386904306,209
40.6928327869,-73.9893790164,305
40.7615468811,-73.9870143275,1026
40.8486833333,-73.83635,24
40.7628509317,-73.963128882,322
40.7883965779,-73.9747490494,263
40.7502453488,-74.0004991694,602
40.6669233871,-73.9884415323,248
40.7397156525,-74.0058932918,2728
40.7397884615,-73.896425,104
40.703875641,-73.8232730769,78
40.6939954693,-73.9304776699,309
40.7120376577,-73.9510409009,555
40.7192362562,-73.9958438424,1015
40.8313125,-73.8770166667,24
40.7547455752,-73.9247442478,226
40.7098305516,-74.0095644979,707
40.8047605578,-73.9589079681,251
40.6295138462,-73.9230153846,65
40.8353409091,-73.9136772727,44
40.7736600515,-73.9547731959,388
40.86064,-74.01708,10
40.7619428571,-73.78475,28
40.7130678788,-73.9629054545,660
40.8888291667,-73.8522166667,24
40.7726595588,-73.9832441176,408
40.7586790476,-74.0288695238,105
40.6258666667,-74.0278571429,63
40.6949957317,-73.9095884146,164
40.7084615034,-73.9372448747,439
40.7508943503,-73.9867092655,885
40.731104844,-74.0009505747,1218
40.7443101124,-73.9775707865,534
40.7220211382,-74.0431682927,123
40.6697,-73.8365125,40
40.7318007187,-73.9883220739,974
40.6790658824,-74.0053941176,85
40.8499340659,-73.9368648352,91
40.74625,-73.9502908163,196
40.8668448276,-73.8881758621,58
40.7206527697,-73.9459279883,343
40.8255908397,-73.949278626,131
40.7622760776,-73.9765297414,464
40.7408979224,-73.9956590028,722
40.6666205128,-73.9292358974,78
40.6801212644,-73.9465850575,174
40.7269383549,-73.9816459335,1082
40.691466787,-73.9532054152,277
40.6333972222,-73.9704166667,72
40.7598477612,-73.8742567164,67
40.7431863405,-74.0052095299,1574
40.6783967078,-73.9792942387,243
40.6839846154,-73.8660641026,39
