lat,long,density
40.7344743842,-73.9767743842,203
40.6920111111,-73.8432111111,18
40.7264634902,-73.9949095293,871
40.6769235294,-73.9612630252,238
40.8030020513,-73.9534323077,195
40.7159378676,-73.9507922794,544
40.6462670436,-73.7817502423,619
40.7436645089,-73.998128125,448
40.8325866667,-73.8677933333,30
40.7632015873,-73.9166867725,189
40.6804681564,-73.9993670391,179
40.7777915194,-73.9797540636,283
40.6921244755,-73.9213391608,143
40.7382888626,-74.030128673,422
40.756695914,-73.9672948387,465
40.829094,-73.923628,50
40.7583647059,-73.8045882353,17
40.7624367347,-73.9967593294,686
40.7169643836,-74.0105483366,511
40.7582979012,-73.9907795062,810
40.6542191176,-74.007,68
40.7352414402,-74.0073758152,736
40.7755042056,-73.9502735981,428
40.6215744681,-73.930012766,47
40.6916182573,-73.9705410788,241
40.7727364706,-73.8730541176,85
40.7280020988,-73.9869785185,810
40.6647804598,-73.9812235632,174
40.886116129,-73.9036629032,62
40.7457856813,-73.9878339492,866
40.7288731529,-74.0001151426,1367
40.7053315166,-73.9236206161,422
40.8904,-74.041025,8
40.7190712021,-73.9882468956,1514
40.7125311234,-73.9575313076,543
40.7625496933,-73.9791208589,652
40.6851666667,-73.8194095238,21
40.8823137931,-73.8320586207,29
40.6826597938,-73.9285061856,97
40.7068729032,-73.9415129032,310
40.7341331683,-73.9564143564,202
40.7279901639,-73.8675295082,61
40.6366396825,-74.0240666667,63
40.7498740741,-73.8484740741,54
40.8655408696,-73.9255417391,115
40.8264575342,-73.9480938356,146
40.7387706076,-73.9888696223,609
40.637238806,-73.9672686567,67
40.7215852761,-74.0459865031,163
40.6864842742,-73.9913241935,248
40.7053678333,-74.010148,600
40.6362489362,-73.9035680851,47
40.7231967213,-73.9789346311,488
40.7451637209,-73.9548939535,215
40.7304674419,-73.8964116279,43
40.7142133333,-73.78338,30
40.7097307865,-73.9497276404,445
40.7654454545,-74.0251068182,44
40.7424385417,-73.9231927083,96
40.793373057,-73.9708108808,193
40.805475,-73.818,8
40.7147348168,-73.9910138743,382
40.7024609121,-73.9882394137,307
40.7050996337,-73.9322571429,273
40.6768379913,-74.014649345,229
40.7452645022,-73.9781984848,462
40.6856393939,-73.9401121212,132
40.8511622807,-73.9353526316,114
40.7340425532,-73.9991842105,893
40.7241436526,-74.0089273942,449
40.7647895105,-73.9669293706,286
40.6942227941,-73.9626838235,136
40.745912931,-74.0026452586,232
40.7257033333,-73.9412706667,150
40.8140206349,-73.9557809524,126
40.7692702602,-73.9554743494,269
40.6723862069,-73.8739655172,29
40.6619816993,-73.9918856209,153
40.8076143678,-73.9440045977,174
40.6527984,-73.9606016,125
40.6597953271,-73.9491570093,107
40.7205507277,-73.9569505198,962
40.6931573099,-73.9537380117,171
40.750190232,-73.9931803419,819
40.6787537906,-73.9886833935,277
40.6767266376,-73.9704502183,229
40.7754273292,-73.9877745342,161
40.7392576099,-74.0018511838,887
40.6527722222,-73.83605,18
40.7210651685,-73.8458269663,89
40.6413560976,-74.0006,41
40.7520986175,-73.9784488479,434
40.7220961942,-73.987657874,1524
40.7620425352,-73.985258169,710
40.7734637209,-73.96226,215
40.6140625,-73.9649041667,24
40.8070190476,-73.9981,21
40.7496471014,-73.9460152174,138
40.708316129,-73.8269548387,31
40.8596565217,-73.8876413043,46
40.7467933333,-73.884812,75
40.7607583333,-73.7744,24
40.6568530612,-73.9230918367,49
40.7375743952,-73.9948743952,496
40.7260271557,-73.9915093308,1554
40.6199,-74.028804878,82
40.7121378176,-73.9650381166,669
40.7389918033,-74.0451639344,61
40.7028029412,-73.8979352941,34
40.8550965517,-73.8557137931,29
40.7436249633,-73.9927800294,681
40.8351125,-73.8327916667,24
40.8438818182,-73.9712181818,11
40.7095151703,-74.0150312693,323
40.7730763889,-73.9158708333,144
40.7583028571,-73.8291728571,70
40.7286298033,-73.9800553707,661
40.6681285714,-73.7990742857,35
40.7519104167,-73.9384447917,96
40.6828820359,-73.9821035928,167
40.7519247826,-74.0284304348,230
40.7214654529,-73.9983447602,1126
40.6635888889,-73.8948944444,36
40.7079948949,-74.0050003003,333
40.6934766537,-73.995492607,257
40.7856506887,-73.9763446281,363
40.7858416667,-74.0505583333,12
40.7152291667,-74.0395291667,96
40.694357265,-73.9078452991,117
40.7398110604,-74.0078643101,1754
40.6709609195,-73.9898743295,261
40.6751883268,-73.980959144,257
40.733494375,-73.98911425,800
40.7333930718,-74.0027327212,1198
40.875796,-73.871504,25
40.701762,-73.80739,50
40.6835374468,-73.9651012766,235
40.7672973684,-73.9276921053,114
40.7381509009,-73.9839720721,444
40.8970333333,-73.7752666667,3
40.7845031532,-73.9492666667,222
40.7307597315,-74.0090855705,298
40.7208304428,-73.9935583026,1084
40.7563845714,-73.9253788571,175
40.8025334842,-73.9647221719,221
40.7162158879,-73.9431844237,321
40.7473763934,-73.973177377,305
40.6774933333,-73.9488347619,210
40.8117813953,-73.9243069767,43
40.8488125,-73.7877625,8
40.7430261745,-73.9826035235,596
40.7515578947,-73.9025245614,57
40.8369028037,-73.9414242991,107
40.7175610248,-73.9616917702,644
40.7454190476,-74.0364266667,105
40.8991086957,-73.8612434783,23
40.68315,-73.9128428571,84
40.7192107235,-74.0046379845,774
40.761327439,-73.9610054878,328
40.8471352941,-73.9089441176,34
40.7547380795,-73.9978771523,302
40.7692724138,-73.8868965517,58
40.7122517241,-73.9360365517,145
40.88295,-73.980675,8
40.7628672234,-73.972754071,479
40.7688978641,-73.9830660194,515
40.6968979094,-73.9318076655,287
40.6198275862,-73.9954206897,29
40.750258134,-73.9852479665,836
40.7261459459,-74.035527027,74
40.6706670103,-73.9360371134,97
40.7966646154,-73.9373992308,130
40.7244851301,-73.9506684015,269
40.724027907,-73.8046767442,43
40.6459395238,-73.789542381,210
40.7658735238,-73.9897533333,525
40.7833458333,-74.0087916667,24
40.7561723022,-73.9849906475,556
40.6856974194,-73.9561412903,310
40.7812888889,-73.8353333333,18
40.8240411765,-73.8944823529,17
40.7840769231,-73.7965769231,13
40.7291222222,-74.0045413399,612
40.7683587302,-73.8644063492,63
40.7275876972,-73.957111041,317
40.7558705882,-73.9729336471,425
40.6938382353,-73.9449066176,136
40.7160510297,-73.9989695652,437
40.8183113208,-73.9414742138,159
40.7017254237,-73.914720339,118
40.6478321429,-73.9761392857,56
40.7447391026,-74.0071557692,624
40.7237956845,-74.00373125,672
40.7791058036,-73.95664375,224
40.7408547103,-74.0052260946,2261
40.7726924051,-73.9046810127,79
40.7102238095,-73.8676619048,21
40.7126802273,-74.0075359091,440
40.6916176471,-73.8627588235,17
40.7250329102,-73.9835742187,1024
40.6843375427,-73.9759853242,293
40.6342793103,-73.9478672414,58
40.6724416031,-73.9564110687,262
40.7506743323,-74.0036882789,674
40.7166185185,-73.9050481481,27
40.8353333333,-74.0446666667,3
40.6724875,-73.84194375,16
40.7315387037,-73.9842398148,540
40.692875,-73.9843539474,228
40.730128886,-73.9914088083,772
