lat,long,density
40.7158084367,-74.0091347395,806
40.757487779,-73.9666646121,941
40.69059,-73.8467366667,30
40.6833125,-73.9328541667,144
40.7692878788,-73.864137013,462
40.7378158236,-73.9923001297,771
40.8442566372,-73.9398309735,113
40.6839115269,-73.9768836826,668
40.6444973753,-73.7895354331,381
40.8002370833,-73.9652483333,240
40.7115616519,-73.9648154867,678
40.7671502326,-73.955834186,430
40.772478355,-73.9818462121,924
40.6330508333,-74.0246008333,120
40.7351488286,-74.0064073983,811
40.7153993559,-73.9901141707,621
40.7945711538,-73.9217346154,156
40.8729411765,-73.8866607843,51
40.6627470588,-73.9905647059,221
40.7443753846,-73.9026738462,65
40.7617271263,-73.9867810567,1552
40.6527131783,-73.9590403101,129
40.7261172827,-73.9944462537,1001
40.7438316667,-73.845015,60
40.7125296053,-73.9378197368,152
40.740947651,-74.0399040268,149
40.677391,-73.998366,200
40.8002880282,-73.9481359155,142
40.7546418149,-73.9981827402,562
40.82655,-73.86143,20
40.7499335463,-73.9761468051,626
40.7485328947,-73.9396877193,228
40.7396504425,-73.9741517699,226
40.6739940299,-73.955441791,335
40.7305130368,-73.9814343558,652
40.7741769912,-73.9062743363,113
40.8489714286,-73.7894714286,7
40.7501028902,-74.0043077457,865
40.6814478261,-73.774873913,23
40.7771443281,-73.9540010471,573
40.7243951128,-73.9499402256,266
40.70766,-74.0037255172,435
40.767288,-73.812032,50
40.8285037356,-73.9256468391,348
40.7178796875,-73.872590625,64
40.719256383,-73.8444473404,188
40.7242685225,-74.0040511777,934
40.7643450355,-73.9700260047,846
40.7012922414,-73.9159517241,116
40.6930641604,-73.9958365915,399
40.7506975355,-73.9931001494,1339
40.7573232804,-73.925768254,189
40.65643,-73.92381,50
40.7784591176,-73.9766770588,340
40.678652549,-73.9881509804,255
40.7161,-74.0383185629,167
40.6944810573,-73.9666246696,227
40.7016369146,-73.9920743802,363
40.6364393939,-73.9657356061,132
40.7346337079,-73.9554906367,267
40.6750166667,-73.9736806122,294
40.872952,-73.858756,25
40.7597917133,-73.9813681971,893
40.7598445313,-73.9925210069,1152
40.8442571429,-73.9737857143,21
40.6669209302,-73.8916116279,43
40.6762524725,-74.0144978022,364
40.7262476364,-73.9845267879,825
40.7099346354,-73.9501036458,384
40.7083458988,-74.0155071553,573
40.6458930769,-73.7768257692,260
40.702206383,-73.8087382979,47
40.7330141956,-74.00250347,1268
40.8162682635,-73.957551497,167
40.7799710526,-74.0146131579,38
40.7195190071,-74.0004350355,705
40.7201863988,-73.9829471406,647
40.8803873016,-73.9111492063,63
40.8360217391,-73.8259652174,23
40.7374966547,-74.0021878136,837
40.7379136943,-73.9814307325,628
40.743625,-73.7837416667,12
40.7514566901,-74.0288823944,284
40.7506921348,-73.8869876404,89
40.7422877525,-74.0034032828,792
40.7727273187,-73.9643192243,593
40.6770625,-73.9467825,200
40.6190586207,-73.9198965517,29
40.8776333333,-74.0501166667,6
40.753000979,-73.9871988811,715
40.8658104478,-73.9244059701,67
40.7162142857,-73.9509867347,294
40.6663285714,-73.7994571429,28
40.7889022039,-73.9763721763,363
40.7176822222,-73.9621080342,585
40.6169288889,-73.99668,45
40.7793331429,-73.9477845714,350
40.7438155615,-73.9920914235,1131
40.8546968085,-73.889893617,94
40.8295508929,-73.9466669643,112
40.7683269919,-73.9911658537,615
40.6751358885,-73.9648118467,287
40.7049354983,-74.0102305711,893
40.6639032787,-73.9597090164,122
40.6940730061,-73.952791411,163
40.6957005464,-73.9321928962,183
40.7227717391,-73.8011391304,46
40.7619511076,-73.9986050633,632
40.7283417957,-73.9574068111,323
40.9017047619,-73.8567904762,21
40.7151032075,-73.9972309434,530
40.7654494253,-73.918662069,174
40.7261943396,-73.8960943396,53
40.7312418261,-73.9878492174,1150
40.88785,-73.96835,16
40.7606542654,-73.9606656398,422
40.762021059,-73.975745006,831
40.6642895674,-73.979575827,393
40.8068832432,-73.9639594595,185
40.895425,-73.7865833333,12
40.801946087,-73.9357634783,230
40.7738876736,-73.8723418403,576
40.8471767442,-73.8590930233,43
40.7491017134,-73.9825225857,642
40.7576115055,-73.97300612,817
40.6936628253,-73.9835907063,269
40.7635323392,-73.9837859273,1073
40.7858888889,-73.7905777778,18
40.6457538462,-73.7823445513,936
40.733074238,-73.9927765978,1017
40.61540625,-73.95198125,32
40.7430054422,-73.9204401361,147
40.652822619,-74.0078059524,84
40.7449425894,-73.9733625213,587
40.7847107692,-73.9720132308,325
40.7231723684,-74.0462322368,152
40.75635,-73.8460397196,214
40.6831870662,-73.9652605678,317
40.6640771429,-73.8389371429,35
40.7600442623,-73.8298606557,61
40.6200928571,-74.0292785714,98
40.6746784314,-73.9115392157,51
40.703104918,-73.8959393443,61
40.7231700437,-73.9977478603,1145
40.7454269841,-73.9555037037,378
40.670053211,-73.9341605505,109
40.7251637236,-73.9788111324,521
40.755975802,-73.9838857012,1091
40.7464600907,-73.9876989796,882
40.783942268,-73.9794541237,388
40.7265137134,-73.9908527735,1298
40.7854770686,-73.9525666667,423
40.7185318056,-74.0052655556,720
40.7792658291,-73.9600238693,398
40.7446775072,-73.9981604585,698
40.6350844828,-73.9457948276,58
40.7061472973,-73.9428184685,222
40.7583080749,-73.9885049096,1548
40.801532,-73.998428,25
40.7300149254,-74.0050441542,804
40.7014623037,-73.9257691099,191
40.6752263158,-73.9819213622,323
40.7843136364,-73.8395090909,22
40.7752647059,-73.9887357143,238
40.7199043478,-74.0097107023,897
40.7245868421,-73.8535644737,76
40.7208651874,-73.9940798817,1014
40.63878125,-73.896478125,32
40.7702769231,-73.8864307692,91
40.738106,-73.878266,50
40.7124551383,-73.9575162055,506
40.673425,-73.87055,32
40.806044403,-73.9540115672,268
40.7159877256,-73.9433805054,277
40.7375550802,-74.0309647059,187
40.8220040541,-73.9422601351,148
40.7723987147,-73.9498848329,389
40.752745,-74.04994,20
40.87664,-73.825448,25
40.7338141274,-73.9757407202,361
40.7442587658,-73.9792015428,713
40.7201649776,-73.9567053651,671
40.7425931452,-73.9845435484,744
40.8225066667,-73.8982888889,45
40.709663268,-74.0074581699,765
40.7209742451,-73.9881472469,1126
40.6700976526,-73.9879450704,213
40.7167675,-73.784535,40
40.6923568182,-73.9080329545,88
40.7381940236,-73.9880023569,1188
40.6856666667,-73.9928097345,339
40.768794186,-73.9303662791,86
40.7528299703,-73.9708818991,674
40.733301569,-73.9982899582,956
40.7122296875,-73.9105828125,64
40.7939980663,-73.9702066298,362
40.7637807692,-73.7771923077,26
40.8111073298,-73.9432172775,191
40.855,-73.9330091743,109
40.6500552239,-73.9754067164,134
40.7048606557,-73.933382377,244
40.6892921569,-73.9719535948,306
40.7495766839,-73.9480160622,193
40.6861268519,-73.9571203704,324
40.7545486091,-73.9787960469,683
40.6381235294,-73.9228852941,34
40.745125802,-74.0073351464,717
40.6856357639,-74.0010774306,288
40.6872119149,-73.9854676596,235
40.7321891051,-74.0092050584,514
40.7282353152,-74.0009617479,1396
40.6880840909,-73.9195439394,132
40.7748860927,-73.9171099338,151
40.6407609756,-74.0002341463,41
40.7022,-73.98489869,229
40.7114661017,-73.8303474576,59
40.8101333333,-73.8139666667,15
40.7074228571,-73.922085,140
40.7718597107,-73.9578237603,484
40.7915475728,-73.9404650485,103
40.8571,-73.9996571429,7
40.8922459016,-73.9019655738,61
40.7377517241,-73.8238793103,29
40.7645045767,-73.9785315789,874
40.7400130709,-74.0068081102,1270
40.7158765487,-74.0148763274,452
40.6582298851,-73.9460206897,87
40.7245684701,-74.0090921642,536
40.7651525926,-73.963987963,540
40.6891774725,-73.9423802198,182
40.7603921875,-73.9116390625,128
40.7784052632,-73.9819025063,399
40.7681455758,-73.9831247273,825
40.6852095238,-73.7946238095,21
40.68192,-73.8201266667,30
40.853848,-73.83916,25
40.7249167785,-73.9419167785,149
40.7389917722,-73.9972375,632
40.7410111111,-73.8620511111,45
40.7640414634,-74.0255658537,41
