lat,long,density
40.7515238213,-73.9787476427,403
40.689875,-73.9197458333,120
40.7156121086,-73.9908753653,479
40.7844397906,-73.9494015707,191
40.7409088654,-74.0051752412,2177
40.7427322581,-73.8795451613,31
40.7094362069,-73.9492495074,406
40.6463710526,-73.7817691729,266
40.6789429078,-73.9885106383,282
40.8672548387,-73.9184129032,31
40.8298385621,-73.9444228758,153
40.7667354545,-73.9277736364,110
40.6743099415,-73.9588181287,342
40.7292077897,-73.9891358325,1027
40.7233416667,-73.8031361111,36
40.7054985455,-74.0100165455,550
40.8530583333,-73.853925,24
40.7004404167,-73.9263058333,240
40.6197211268,-74.0286112676,71
40.7605588,-73.992501,500
40.7243800813,-73.9506182927,246
40.7383133495,-74.030109466,412
40.7855529968,-73.9763867508,317
40.7286668855,-74.0001932896,1371
40.7446868035,-73.9897765396,682
40.7613425856,-73.9608882129,263
40.7125140787,-73.9574867495,483
40.8196042105,-73.9548736842,95
40.6368318182,-73.9497931818,44
40.6921191781,-73.9845027397,219
40.62598125,-73.9161625,32
40.6619519084,-73.9918320611,131
40.6767215311,-74.014962201,209
40.7273693878,-73.8670693878,49
40.7230187898,-74.0036716561,628
40.6698185185,-73.8859333333,27
40.6932207547,-73.9532672956,159
40.7511875,-73.8477083333,48
40.8904,-74.041025,8
40.6838884615,-73.9404163462,104
40.763126151,-73.9797042357,543
40.7207809955,-73.9843218703,663
40.7503338008,-74.0035761571,713
40.7196212963,-74.0447638889,216
40.8831321429,-73.8334392857,28
40.7452132701,-73.9546369668,211
40.7624346154,-73.7758,26
40.7522761905,-74.0289222222,252
40.802297449,-73.9648545918,196
40.8312263158,-73.8263684211,19
40.8111272727,-73.924569697,33
40.7210290573,-73.9935172983,1029
40.6994567568,-73.8343675676,37
40.7345248183,-73.9989145379,963
40.7207081884,-73.9883971998,2357
40.6530516854,-73.9613258427,89
40.8481536364,-73.9375163636,110
40.7470857143,-73.9086897959,49
40.7205553653,-73.9569542237,876
40.7693202532,-73.9554835443,237
40.6930548673,-73.9081619469,113
40.6906388186,-73.9704388186,237
40.7446430839,-73.9771566893,441
40.7380930233,-73.9809418605,344
40.7092511429,-73.9394162857,350
40.8453296296,-73.9098185185,27
40.7189125776,-74.0047071429,644
40.67603125,-73.8239875,16
40.7566645977,-73.9673972414,435
40.7347961385,-74.0075382157,751
40.7582557143,-73.8251171429,70
40.7566046125,-73.9892156827,542
40.7340589147,-73.9918165891,645
40.702344863,-73.9880746575,292
40.744570099,-73.9975627723,505
40.665555,-73.983019,200
40.6840041176,-73.9772788235,340
40.7628924276,-73.9976628062,449
40.632683871,-73.9998967742,31
40.88692,-73.903414,50
40.8079123288,-73.9457739726,146
40.6705963415,-73.9359243902,82
40.7072014925,-73.9226488806,268
40.7208705128,-73.8459692308,78
40.7175335008,-73.9616725293,597
40.6366471698,-73.9681245283,53
40.77122,-73.9028482353,85
40.7420025974,-73.9243714286,77
40.7283929319,-74.0066518325,764
40.7689163043,-73.9830280435,460
40.796840625,-74.001940625,32
40.7618470874,-73.9858389968,618
40.681014527,-73.9655506757,296
40.7262507321,-73.9844725237,1161
40.7569025253,-73.9236742424,198
40.7662725537,-73.9896596659,419
40.7692626923,-73.9159330769,260
40.79625,-74.05304,10
40.831325,-73.86106,20
40.7340771084,-73.956696988,166
40.7495746224,-73.9857932528,993
40.77143,-73.87159,110
40.7163684783,-73.9431938406,276
40.7706026316,-74.0228578947,38
40.6933095436,-73.9953983402,241
40.7631660574,-73.9730206266,383
40.8634623377,-73.9287142857,77
40.6857098131,-73.9914172897,214
40.7247759868,-73.9792116776,608
40.6954292308,-73.9434538462,130
40.7264932306,-73.9925488329,2142
40.7255472868,-73.9413612403,129
40.7403498127,-73.9933234082,534
40.8285489362,-73.922206383,47
40.7879647059,-73.8062470588,17
40.7122061588,-73.9650897893,617
40.7270883721,-73.897055814,43
40.7394285396,-74.0016483835,897
40.8488125,-73.7877625,8
